Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Buenos Aires;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Buenos Aires;Disco;1 - San Isidro.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;134;0;0;35;0;31;24;26;1,11;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;10 - Larrea.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;25;0;8;6;0,7;0;;25;15/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;107 - Naón.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;283;0;0;17;0;30;10;6;0,56;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;111 - City Bell.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;108;0;0;26;25;25;24;24;1,03;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;112 - Banfield.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;283;0;0;17;0;66;23;6;0,26;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;119 - Aráoz.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;383;0;0;23;25;21;5;6;1,09;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;12 - Sucre.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;100;0;0;6;25;8;8;6;0,71;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;121 - Jumbo Las Heras;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1800;0;0;54;0;118;6;3;0,46;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;122 - Bahía Blanca I;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;400;0;0;24;0;93;26;6;0,26;106,78;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;127 - Bahía Blanca. II.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;78;0;0;11;25;19;26;14;0,57;0;;25;20/2/2023;6;XD;V;SI;71,03;0;9217
