Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cordoba;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cordoba;Vea;113 - Río Cuarto.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;5;5;0;1;34;100;2,94;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;114 - Juan B. Justo.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;281;0;0;31;0;41;15;11;0,75;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Vea;195 - Vea 29 - M.T. de Alvear ;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;180;0;0;18;0;26;15;10;0,67;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Vea;232 - Villa María II.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;131;0;0;25;0;19;15;19;1,29;0;;25;22/12/2022;34;AL;V;SI;66,17;0;9779
Cordoba;Disco;233 - Carlos Paz.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;245;0;0;27;0;28;12;11;0,96;0;;25;16/2/2023;10;AL;V;SI;66,17;0;9779
Cordoba;Disco;28 - Vélez Sarsfield.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;180;0;0;18;0;41;23;10;0,43;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Disco;29 - Cerro las Rosas.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1500;0;0;30;0;209;13;2;0,14;0;;25;31/1/2023;26;AL;V;SI;66,17;0;9779
Cordoba;Vea;32 - Buchardo.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;10;1;0;2;20;10;0,5;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Disco;33 - Alta Córdoba.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;0;0;12;16;1,4;0;;25;13/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;432 - San Vicente.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;60;0;0;6;0;8;13;10;0,75;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;434 - Olmos I.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;260;0;0;26;0;30;12;10;0,86;0;;25;18/1/2023;39;AL;V;SI;66,17;0;9779
Cordoba;Disco;435 - Los 33.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;137;0;0;11;0;27;19;8;0,41;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Disco;436 - Cerro II.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;510;0;0;51;0;89;17;10;0,57;0;;25;21/1/2023;36;AL;V;SI;66,17;0;9779
Cordoba;Vea;437 - Ruta 20.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;60;0;0;6;0;8;13;10;0,74;0;;25;12/2/2023;14;AL;V;SI;66,17;0;9779
Cordoba;Disco;439 - Colón.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;23;0;3;0;2;12;13;1,12;0;;25;24/2/2023;2;AL;V;SI;66,17;0;9779
Cordoba;Vea;440 - Chacabuco.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;130;0;0;13;0;26;20;10;0,5;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Disco;441 - Estrada.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;250;0;0;25;0;51;20;10;0,49;0;;25;8/1/2023;39;AL;V;SI;66,17;0;9779
Cordoba;Disco;444 - Vélez I.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;150;0;0;15;0;78;52;10;0,19;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Disco;448 - Carcano.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;245;0;0;27;0;34;15;11;0,77;0;;25;10/2/2023;16;AL;V;SI;66,17;0;9779
Cordoba;Disco;449 - Acceso.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;25;0;3;0;3;15;12;0,86;0;;25;22/2/2023;4;AL;V;SI;66,17;0;9779
Cordoba;Disco;450 - Cosquín.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;340;0;0;34;0;68;20;10;0,5;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Jumbo;451 - Nuevo Centro.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;26;0;4;0;5;19;15;0,79;0;;25;20/2/2023;6;AL;V;SI;66,17;0;9779
