Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cuyo;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cuyo;Vea;110 - Tres Cerritos.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;287;0;0;23;25;53;18;8;0,43;107,84;;25;26/2/2023;0;XD;V;SI;71,03;0;268
Cuyo;Vea;125 - Sarmiento.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1200;0;0;96;0;56;4;8;1,71;108,38;;25;26/2/2023;0;XD;V;SI;71,03;0;268
Cuyo;Vea;13 - Santiago.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;2912;0;0;233;0;233;8;8;1;108,38;;25;26/2/2023;0;XD;V;SI;71,03;0;268
Cuyo;Vea;134 - Roca.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1000;0;0;80;0;96;9;8;0,83;108,38;;25;26/2/2023;0;XD;V;SI;71,03;0;268
Cuyo;Vea;140 - SM 140 Orán - Salta.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;412;0;0;33;0;33;8;8;0,98;0;;25;25/2/2023;1;XD;V;SI;71,03;0;268
Cuyo;Vea;170 - Vea 1.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;625;0;0;50;25;31;5;8;1,6;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;171 - Vea 2.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;862;0;0;69;0;17;2;8;3,91;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;172 - Vea 3.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;487;0;0;39;0;13;2;8;2,93;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;173 - Vea 5.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;127;0;0;127;0;61;48;100;2,07;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;174 - Vea 6.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;387;0;0;31;0;76;19;8;0,41;0;;25;25/2/2023;1;AL;V;SI;71,03;0;9221
Cuyo;Vea;175 - Vea 7.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;387;0;0;31;0;31;8;8;1;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;176 - Vea 8.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;122;0;0;11;0;13;9;9;0,81;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;179 - Vea 11.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;437;0;0;35;0;35;8;8;1;0;;25;24/2/2023;2;AL;V;SI;71,03;0;9221
Cuyo;Vea;180 - Vea 12.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;262;0;0;21;0;14;5;8;1,41;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;181 - Vea 14.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;177;0;0;16;0;19;9;9;0,83;0;;25;25/2/2023;1;AL;V;SI;71,03;0;9221
Cuyo;Vea;182 - Vea 15.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;312;0;0;25;0;28;9;8;0,88;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;183 - Vea 16.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;11;1;0;2;2;9;0,45;0;;25;25/2/2023;1;AL;V;SI;71,03;0;9221
Cuyo;Vea;184 - Vea 17.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;362;0;0;29;0;15;4;8;1,86;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;185 - Vea 18.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;487;0;0;39;0;19;4;8;1,98;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
